CIVIC-DEPARTURE-TIME,RIVERSIDE-DEPARTURE-TIME,GENERAL-DEPARTURE-TIME,RIVERSIDE-DEPARTURE-TIME-FINAL,Travel-Riverside,Travel-General,Travel-Riverside-Other
6:10:00 AM,6:32:00 AM,6:45:00 AM,6:55:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
6:40:00 AM,7:02:00 AM,7:15:00 AM,7:25:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
7:00:00 AM,7:22:00 AM,7:35:00 AM,7:45:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
7:25:00 AM,7:47:00 AM,8:00:00 AM,8:10:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
8:15:00 AM,8:37:00 AM,8:50:00 AM,9:00:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
8:40:00 AM,9:02:00 AM,9:15:00 AM,9:25:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
9:10:00 AM,9:32:00 AM,9:45:00 AM,9:55:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
9:45:00 AM,10:07:00 AM,10:20:00 AM,10:30:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
10:10:00 AM,10:32:00 AM,10:45:00 AM,10:55:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
10:40:00 AM,11:02:00 AM,11:15:00 AM,11:25:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
11:00:00 AM,11:22:00 AM,11:35:00 AM,11:45:00 AM,12:22:00 AM,12:13:00 AM,12:10:00 AM
11:25:00 AM,11:47:00 AM,12:00:00 PM,12:10:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
11:55:00 AM,12:17:00 PM,12:30:00 PM,12:40:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
12:15:00 PM,12:37:00 PM,12:50:00 PM,1:00:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
12:40:00 PM,1:02:00 PM,1:15:00 PM,1:25:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
1:05:00 PM,1:27:00 PM,1:40:00 PM,1:50:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
1:30:00 PM,1:52:00 PM,2:05:00 PM,2:15:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
2:00:00 PM,2:22:00 PM,2:35:00 PM,2:45:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
2:35:00 PM,2:57:00 PM,3:10:00 PM,3:20:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
3:05:00 PM,3:27:00 PM,3:40:00 PM,3:50:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
3:50:00 PM,4:12:00 PM,4:25:00 PM,4:35:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
4:20:00 PM,4:42:00 PM,4:55:00 PM,5:05:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
4:50:00 PM,5:12:00 PM,5:25:00 PM,5:35:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
5:05:00 PM,5:27:00 PM,5:40:00 PM,5:50:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
5:35:00 PM,5:57:00 PM,6:10:00 PM,6:20:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
6:05:00 PM,6:27:00 PM,6:40:00 PM,6:50:00 PM,12:22:00 AM,12:13:00 AM,12:10:00 AM
